City,State,2010 Actual,2020 Estimate,2016 Land Area (sq mi),Population Change,Population Density 2010,Population Density 2020
Allen,Texas,84246,109379,27.1,29.832870403342593,3108.7084870848707,4036.125461254612
League City,Texas,83560,108477,51.2,29.81929152704643,1632.03125,2118.69140625
Nampa,Idaho,81557,103215,33.0,26.555660458329754,2471.4242424242425,3127.7272727272725
Carmel,Indiana,79191,101643,47.5,28.35170663332954,1667.178947368421,2139.8526315789472
Sugar Land,Texas,78817,117875,34.0,49.555298983721784,2318.1470588235293,3466.9117647058824
Edinburg,Texas,77100,102374,37.6,32.78080415045396,2050.531914893617,2722.7127659574467
Bend,Oregon,76639,101886,33.1,32.94275760383095,2315.3776435045315,3078.1268882175227
Meridian,Idaho,75092,121182,29.8,61.37804293400095,2519.8657718120803,4066.510067114094
Jurupa Valley,California,0,109745,42.9,inf,0.0,2558.158508158508
South Fulton,Georgia,0,102567,84.8,inf,0.0,1209.5165094339623
